datetime,value
2020-12-15 14:00:02.187000,254.5377
2020-12-15 14:15:02.150000,206.7748
2020-12-15 14:30:02.170000,123.2925
2020-12-15 14:45:02.338000,86.7766
2020-12-15 15:00:02.155000,26.6554
2020-12-15 15:15:02.190000,11.9067
2020-12-15 15:30:02.457000,1.7658
2020-12-15 15:45:02.204000,0.1483764499425888
2020-12-15 16:00:02.155000,0.012484567239880562
2020-12-15 16:15:02.349000,0.0010503372177481651
2020-12-15 16:30:02.173000,8.766604878474027e-05
2020-12-15 16:45:02.224000,7.368450951616978e-06
2020-12-15 17:00:02.441000,6.188730594658409e-07
2020-12-15 17:15:02.193000,5.165222560776783e-08
2020-12-15 17:30:00.309000,4.31790470045712e-09
2020-12-15 17:45:03.019000,3.6270561554196945e-10
2020-12-15 18:00:02.192000,3.0482897456218794e-11
2020-12-15 18:15:04.408000,2.5647897434338818e-12
2020-12-15 18:30:02.285000,2.1434477727889228e-13
2020-12-15 18:45:02.206000,1.803290115430685e-14
2020-12-15 19:00:02.192000,3.9486
2020-12-15 19:15:02.162000,17.3176
2020-12-15 19:30:02.478000,57.5887
2020-12-15 19:45:02.178000,69.3654
2020-12-15 20:00:02.206000,119.1999
2020-12-15 20:15:02.295000,145.2517
2020-12-15 20:30:02.234000,182.4441
2020-12-15 20:45:09.421000,208.0059
2020-12-15 21:00:02.191000,250.5074
2020-12-15 21:15:05.052000,261.7603
2020-12-15 21:30:02.240000,289.9952
2020-12-15 21:45:02.210000,297.2299
2020-12-15 22:00:02.280000,305.7035
2020-12-15 22:15:02.350000,329.2176
2020-12-15 22:30:02.127000,313.6084
2020-12-15 22:45:02.162000,310.4451
2020-12-15 23:00:02.205000,322.2722
2020-12-15 23:15:02.245000,201.2131
2020-12-15 23:30:02.224000,155.4238
2020-12-15 23:45:02.345000,158.0138
2020-12-16 00:00:02.338000,153.847
2020-12-16 00:15:02.511000,155.3564
2020-12-16 00:30:02.188000,153.8572
2020-12-16 00:45:02.207000,157.4209
2020-12-16 01:00:02.193000,156.9829
2020-12-16 01:15:02.173000,144.5904
2020-12-16 01:30:02.172000,150.9428
2020-12-16 01:45:02.217000,151.485
2020-12-16 02:00:02.309000,151.7332
2020-12-16 02:15:02.217000,143.1207
2020-12-16 02:30:02.354000,143.7915
2020-12-16 02:45:02.162000,146.5806
2020-12-16 03:00:02.111000,141.1208
2020-12-16 03:15:02.099000,162.174
2020-12-16 05:00:02.174000,153.6865
2020-12-16 05:15:12.211000,158.6572
2020-12-16 05:30:02.150000,148.6926
2020-12-16 05:45:02.114000,165.2468
2020-12-16 06:00:02.152000,159.757
2020-12-16 06:15:02.119000,150.6098
2020-12-16 06:30:02.116000,155.7738
2020-12-16 06:45:02.202000,158.4334
2020-12-16 07:00:02.160000,154.8898
2020-12-16 07:15:02.266000,161.6143
2020-12-16 07:30:02.117000,155.821
2020-12-16 07:45:02.135000,163.0565
2020-12-16 08:00:02.242000,158.1592
2020-12-16 08:15:02.214000,161.8155
2020-12-16 08:30:03.259000,154.9469
2020-12-16 08:45:02.140000,152.9415
2020-12-16 09:00:02.127000,155.462
2020-12-16 09:15:02.139000,157.2337
2020-12-16 09:30:02.189000,154.3041
2020-12-16 09:45:02.144000,162.455
2020-12-16 10:00:02.607000,152.1355
2020-12-16 10:15:02.175000,153.8866
2020-12-16 10:30:02.269000,159.2748
2020-12-16 10:45:02.169000,161.1233
2020-12-16 11:00:02.188000,166.706
2020-12-16 11:15:02.171000,161.5876
2020-12-16 11:30:02.157000,153.9969
2020-12-16 11:45:02.139000,176.919
2020-12-16 12:00:02.180000,281.1953
2020-12-16 12:15:02.119000,483.2714
2020-12-16 12:30:02.159000,545.2344
2020-12-16 12:45:02.170000,534.9128
2020-12-16 13:00:02.174000,480.4367
2020-12-16 13:15:02.348000,452.7144
2020-12-16 13:30:02.172000,432.0511
2020-12-16 13:45:02.180000,408.1351
2020-12-16 14:00:02.164000,416.8817
2020-12-16 14:15:02.161000,392.4189
2020-12-16 14:30:02.123000,308.558
2020-12-16 14:45:02.183000,262.3586
2020-12-16 15:00:02.218000,280.48
2020-12-16 15:15:02.205000,262.4771
2020-12-16 15:30:02.324000,326.5765
2020-12-16 15:45:02.186000,351.2431
2020-12-16 16:00:02.194000,354.2502
2020-12-16 16:15:02.152000,305.8967
2020-12-16 16:30:02.135000,333.6932
2020-12-16 16:45:02.182000,341.5491
2020-12-16 17:00:02.199000,361.6357
2020-12-16 17:15:02.451000,365.9297
2020-12-16 17:30:02.962000,364.1502
2020-12-16 17:45:03.002000,341.0948
2020-12-16 18:00:02.405000,345.0113
2020-12-16 18:15:03.447000,354.2281
2020-12-16 18:30:02.367000,369.5979
2020-12-16 18:45:03.532000,374.9556
2020-12-16 19:00:03.414000,382.679
2020-12-16 19:15:02.873000,371.5794
2020-12-16 19:30:02.281000,385.7654
2020-12-16 19:45:02.163000,380.0329
2020-12-16 20:00:02.225000,372.4617
2020-12-16 20:15:02.436000,370.5041
2020-12-16 20:30:02.117000,373.3261
2020-12-16 20:45:03.140000,371.8019
2020-12-16 21:00:02.155000,374.1871
2020-12-16 21:15:02.161000,372.5901
2020-12-16 21:30:02.156000,359.2084
2020-12-16 21:45:02.173000,373.5161
2020-12-16 22:00:02.249000,364.2517
2020-12-16 22:15:02.136000,369.9774
2020-12-16 22:30:02.184000,362.1726
2020-12-16 22:45:02.149000,369.1173
2020-12-16 23:00:02.127000,358.4169
2020-12-16 23:15:02.276000,218.4806
2020-12-16 23:30:02.201000,172.0322
2020-12-16 23:45:02.164000,167.0805
2020-12-17 00:00:02.122000,156.5334
2020-12-17 00:15:02.100000,162.998
2020-12-17 00:30:02.298000,161.6746
2020-12-17 00:45:02.209000,164.9358
2020-12-17 01:00:02.134000,165.8748
2020-12-17 01:15:02.109000,170.7403
2020-12-17 01:30:02.213000,168.1077
2020-12-17 01:45:10.755000,166.4243
2020-12-17 02:00:02.186000,171.3221
2020-12-17 02:15:02.144000,172.5378
2020-12-17 02:30:02.123000,155.6467
2020-12-17 02:45:02.166000,164.7547
2020-12-17 03:00:02.207000,177.3245
2020-12-17 03:15:02.148000,157.9389
2020-12-17 03:30:02.178000,166.6444
2020-12-17 03:45:02.240000,161.3027
2020-12-17 04:00:02.180000,154.9651
2020-12-17 04:15:02.162000,167.346
2020-12-17 04:30:02.160000,162.5069
2020-12-17 04:45:02.281000,171.4756
2020-12-17 05:00:02.157000,168.8727
2020-12-17 05:15:02.341000,154.8947
2020-12-17 05:30:02.207000,158.1366
2020-12-17 05:45:02.219000,166.1598
2020-12-17 06:00:02.171000,156.7991
2020-12-17 06:15:02.157000,164.373
2020-12-17 06:30:02.174000,165.4717
2020-12-17 06:45:02.110000,163.0582
2020-12-17 07:00:02.155000,169.0141
2020-12-17 07:15:02.205000,159.3192
2020-12-17 07:30:02.216000,166.176
2020-12-17 07:45:02.104000,167.3995
2020-12-17 08:00:02.119000,161.3642
2020-12-17 08:15:02.142000,172.2249
2020-12-17 08:30:02.325000,171.8368
2020-12-17 08:45:02.189000,169.3018
2020-12-17 09:00:02.254000,175.4094
2020-12-17 09:15:02.182000,169.6579
2020-12-17 09:30:02.222000,168.8521
2020-12-17 09:45:02.241000,177.9756
2020-12-17 10:00:02.222000,175.2426
2020-12-17 10:15:02.129000,177.447
2020-12-17 10:30:02.215000,216.7156
2020-12-17 10:45:02.358000,320.0528
2020-12-17 11:00:02.161000,323.4908
2020-12-17 11:15:02.187000,326.8769
2020-12-17 11:30:02.323000,323.6487
2020-12-17 11:45:02.196000,318.3126
2020-12-17 12:00:02.256000,312.6181
2020-12-17 12:15:02.110000,462.4879
2020-12-17 12:30:02.133000,517.5234
2020-12-17 12:45:02.206000,532.8576
2020-12-17 13:00:02.312000,512.8265
2020-12-17 13:15:02.114000,478.4235
2020-12-17 13:30:02.259000,462.2352
2020-12-17 13:45:02.243000,438.03
2020-12-17 14:00:02.209000,445.6368
2020-12-17 14:15:02.210000,437.2677
2020-12-17 14:30:02.190000,404.984
2020-12-17 14:45:02.154000,405.2486
2020-12-17 15:00:02.182000,378.4989
2020-12-17 15:15:02.245000,378.2934
2020-12-17 15:30:02.257000,375.9273
2020-12-17 15:45:02.237000,361.2872
2020-12-17 16:00:02.193000,369.936
2020-12-17 16:15:02.282000,359.6432
2020-12-17 16:30:02.238000,355.9254
2020-12-17 16:45:02.117000,352.2893
2020-12-17 17:00:02.258000,353.7459
2020-12-17 17:15:02.164000,345.6531
2020-12-17 17:30:02.204000,331.4401
2020-12-17 17:45:02.314000,323.7203
2020-12-17 18:00:02.578000,330.1609
2020-12-17 18:15:02.141000,320.1479
2020-12-17 18:30:02.230000,334.6183
2020-12-17 18:45:02.201000,350.276
2020-12-17 19:00:02.175000,340.4138
2020-12-17 19:15:02.208000,329.3631
2020-12-17 19:30:02.242000,324.2869
